"","cv.sd.GLAMER","gic.GLAMER","cvg.DMRnet","gic.DMRnet","scope.250","scope.100","cv.glmnet","RF","cv.MCP","cv.MCP.g.100","cv.MCP.g.250","cv.grLasso"
"157",0.0625,0.125,0.21875,0.09375,0.15625,0.09375,0.15625,0.15625,0.34375,0.15625,0.03125,0.0625
"158",0.09375,0.15625,0.15625,0.125,0.125,0.09375,0.09375,0.03125,0.125,0.15625,0.03125,0.125
"159",0.28125,0.125,0.375,0.125,0.15625,0.09375,0.15625,0.1875,0.28125,0.03125,0.09375,0.09375
"160",0.09375,0.125,0.09375,0.09375,0.0625,0.15625,0.09375,0.0625,0.375,0.0625,0.125,0.125
"161",0.1875,0.03125,0.03125,0.0625,0.03125,0.125,0,0.21875,0.15625,0.0625,0.125,0.15625
"162",0.21875,0.09375,0.03125,0.0625,0.0625,0.09375,0.0625,0.0625,0.3125,0.125,0.09375,0.09375
"163",0.1875,0.09375,0.25,0.0625,0.21875,0.03125,0.15625,0.03125,0.09375,0.125,0.09375,0.09375
"164",0.09375,0.1875,0.0625,0.25,0.21875,0.125,0.0625,0.03125,0.28125,0.125,0.03125,0.0625
"165",0.09375,0.15625,0.125,0.0625,0.09375,0.0625,0.0625,0.0625,0.0625,0.09375,0.125,0.09375
"166",0.3125,0.09375,0.125,0.21875,0.1875,0.34375,0.15625,0.0625,0.21875,0.125,0.03125,0.15625
"167",0.125,0.03125,0.0625,0.25,0.09375,0.09375,0.09375,0.125,0.28125,0,0.09375,0.09375
"168",0.0625,0.125,0.15625,0.125,0.125,0.28125,0.09375,0.0625,0.15625,0.09375,0.125,0.0625
"169",0.125,0.09375,0.03125,0.1875,0.1875,0.1875,0.0625,0.125,0.09375,0.09375,0.125,0.09375
"170",0.125,0.21875,0.21875,0.0625,0.15625,0.15625,0.0625,0.03125,0.09375,0.09375,0.0625,0.09375
"171",0.15625,0.09375,0.21875,0.21875,0.03125,0.09375,0.09375,0.125,0.28125,0,0.0625,0.0625
"172",0.0625,0.15625,0.0625,0.15625,0.1875,0.15625,0.15625,0.125,0.25,0.125,0,0.09375
"173",0.34375,0.15625,0.1875,0.15625,0.15625,0.0625,0.09375,0.125,0.21875,0.03125,0.15625,0.0625
"174",0.25,0.1875,0.0625,0.03125,0.40625,0.09375,0.03125,0.15625,0.28125,0.0625,0.09375,0.0625
"175",0.09375,0.15625,0.15625,0.09375,0.0625,0.09375,0.1875,0.0625,0.34375,0,0,0.09375
"176",0.09375,0.09375,0.28125,0.15625,0.0625,0.0625,0.125,0.09375,0.3125,0.03125,0.03125,0.03125
"177",0.21875,0.125,0.21875,0.1875,0.1875,0.25,0.09375,0.0625,0.15625,0.125,0.09375,0.09375
"178",0.125,0.09375,0.0625,0.09375,0.125,0.125,0.09375,0.0625,0.09375,0.125,0.0625,0.03125
"179",0.34375,0.0625,0.15625,0.21875,0.15625,0.09375,0.125,0.09375,0.3125,0.09375,0.0625,0.0625
"180",0.3125,0.125,0.03125,0.0625,0.15625,0.09375,0.09375,0.03125,0.125,0.03125,0.03125,0.09375
"181",0.09375,0.15625,0.09375,0.21875,0.03125,0.125,0.0625,0.0625,0.03125,0.15625,0.125,0.03125
"182",0.0625,0.15625,0.1875,0.0625,0.03125,0.15625,0.15625,0.1875,0.3125,0.09375,0.1875,0.125
"183",0.09375,0.125,0.1875,0.0625,0.125,0.25,0.0625,0.03125,0.1875,0.0625,0.0625,0.09375
"184",0.125,0.15625,0.09375,0.0625,0.1875,0.34375,0.09375,0.125,0.1875,0.125,0.0625,0.0625
"185",0.3125,0.09375,0.09375,0.09375,0.125,0.09375,0.15625,0.09375,0.21875,0.09375,0.0625,0.1875
"186",0.28125,0.25,0.1875,0.1875,0.03125,0.125,0.09375,0.0625,0.15625,0.09375,0.09375,0.0625
"187",0.1875,0.21875,0.03125,0.03125,0.125,0.09375,0.09375,0.0625,0.09375,0.0625,0.09375,0.0625
"188",0.125,0.0625,0.0625,0.21875,0.0625,0.21875,0.09375,0.09375,0.125,0.0625,0.03125,0.15625
"189",0.09375,0.09375,0.09375,0.09375,0.09375,0.09375,0.125,0.15625,0.125,0.0625,0.0625,0.03125
